'Agency Name','Days after Jan 1','Hours past Midnight','Route Type','Related Non-Motorist','Collision Type',Weather,'Surface Condition',Light,'Traffic Control','Driver Substance Abuse','Non-Motorist Substance Abuse','Pedestrian Movement','Pedestrian Actions','Pedestrian Location','At Fault','Safety Equipment','Lat- Normalized','Long- Normalized','Injury Severity'
MONTGOMERY,43010,17.75,County,Pedestrian,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.61951,0.966764,'Possible Injury'
MONTGOMERY,42663,19.117,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',Inattentive,'ON ROADWAY AT CROSSWALK',Yes,None,0.738625,0.850088,'Suspected Minor Injury'
GAITHERSBURG,42991,7.967,'Maryland (State)',Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter Not at Intersection','FAILURE TO YIELD RIGHT OF WAY','ON ROADWAY NOT AT CROSSWALK',Yes,None,0.677878,0.871083,'Suspected Minor Injury'
MONTGOMERY,42045,18.483,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.593832,0.965652,'Suspected Minor Injury'
MONTGOMERY,44752,10.433,County,Bicyclist,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Riding w/Traffic',None,SHOULDER,Yes,Yes,0.483571,0.881216,'Suspected Minor Injury'
MONTGOMERY,44757,17.2,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter Not at Intersection',None,'MIDBLOCK MARKED CROSSWALK',No,None,0.572099,0.977013,'Suspected Serious Injury'
MONTGOMERY,45518,13.833,County,Pedestrian,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Cycling on Sidewalk',None,'ON ROADWAY AT CROSSWALK',No,None,0.567166,0.910442,'Suspected Minor Injury'
MONTGOMERY,42912,18.417,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.730642,0.84089,'Possible Injury'
MONTGOMERY,42647,17,County,Pedestrian,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION BUT NO CROSSWALK',No,None,0.587443,0.934432,'Suspected Minor Injury'
MONTGOMERY,42845,17.417,'Maryland (State)',Bicyclist,'HEAD ON LEFT TURN',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION BUT NO CROSSWALK',No,Yes,0.676176,0.780401,'Possible Injury'
MONTGOMERY,44464,19.4,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY NOT AT CROSSWALK',No,None,0.447229,0.909202,'Possible Injury'
MONTGOMERY,44379,16.967,County,Bicyclist,'HEAD ON LEFT TURN',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,Yes,0.730966,0.840954,'Suspected Minor Injury'
ROCKVILLE,44291,11.733,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.615421,0.882054,'Possible Injury'
MONTGOMERY,44840,19.25,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Not Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection','IN ROADWAY IMPROPERLY','ON ROADWAY NOT AT CROSSWALK',Yes,None,0.516124,0.962173,'Possible Injury'
MONTGOMERY,42013,21.383,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Not Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter Not at Intersection','NOT VISIBLE','ON ROADWAY AT CROSSWALK',No,None,0.506557,0.94845,'Possible Injury'
MONTGOMERY,43815,17.7,'Maryland (State)',Pedestrian,'HEAD ON LEFT TURN',Rain,Wet,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.50905,0.959117,'Possible Injury'
MONTGOMERY,42345,9.983,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY NOT AT CROSSWALK',Yes,None,0.635647,0.928514,'Possible Injury'
MONTGOMERY,43899,17.9,County,Bicyclist,'Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,Yes,0.549935,0.927584,'Suspected Minor Injury'
MONTGOMERY,43970,13.05,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'MIDBLOCK MARKED CROSSWALK',No,None,0.603144,0.926059,'Possible Injury'
MONTGOMERY,43496,19.5,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected',Standing,None,'ON ROADWAY AT CROSSWALK',No,None,0.547056,0.9156,'Suspected Minor Injury'
MONTGOMERY,42900,19.367,'Maryland (State)',Bicyclist,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT AT INTERSECTION MARKED CROSSWALK',No,Yes,0.565032,0.937811,'Possible Injury'
MONTGOMERY,42951,12.667,'Maryland (State)','MACHINE OPERATOR/RIDER','Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection','FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER','AT AT INTERSECTION MARKED CROSSWALK',Yes,None,0.490709,0.919708,'Possible Injury'
MONTGOMERY,42173,1.3,'US (State)',Pedestrian,'Single Vehicle',Rain,Wet,'Dark - Not Lighted','NO CONTROLS','None Detected','ALCOHOL PRESENT','Cross/Enter at Intersection',None,'ON ROADWAY NOT AT CROSSWALK',No,None,0.566534,0.9678,'Suspected Minor Injury'
MONTGOMERY,44732,18.4,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter Not at Intersection','FAILURE TO YIELD RIGHT OF WAY','ON ROADWAY NOT AT CROSSWALK',Yes,None,0.823074,0.870618,'Suspected Serious Injury'
ROCKVILLE,43521,20.15,Municipality,Bicyclist,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Walking/Riding w/Traffic',None,'ON ROADWAY NOT AT CROSSWALK',Yes,Yes,0.578517,0.906929,'Possible Injury'
MONTGOMERY,42824,1.333,'Interstate (State)',Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Not Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY NOT AT CROSSWALK',No,None,0.764314,0.837682,'Suspected Serious Injury'
ROCKVILLE,42926,15.167,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Riding w/Traffic',None,'ON ROADWAY AT CROSSWALK',No,None,0.585344,0.905137,'Possible Injury'
MONTGOMERY,44484,16.183,County,'MACHINE OPERATOR/RIDER','STRAIGHT MOVEMENT ANGLE',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Push/Work on Vehicle',Inattentive,'ON ROADWAY AT CROSSWALK',Yes,None,0.685268,0.901467,'No Apparent Injury'
MONTGOMERY,43042,13.25,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter Not at Intersection','IN ROADWAY IMPROPERLY','ON ROADWAY NOT AT CROSSWALK',Yes,None,0.738205,0.852501,'Suspected Minor Injury'
ROCKVILLE,44597,21.333,Municipality,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.582092,0.906087,'Possible Injury'
MONTGOMERY,43163,10.667,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.704602,0.870237,'Possible Injury'
MONTGOMERY,42295,9.917,'Maryland (State)',Bicyclist,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY NOT AT CROSSWALK',No,Yes,0.46513,0.913191,'Suspected Minor Injury'
MONTGOMERY,44389,18.383,'Maryland (State)',Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.583643,0.928355,'Possible Injury'
MONTGOMERY,43737,2.5,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Push/Work on Vehicle',None,'ON ROADWAY AT CROSSWALK',No,None,0.713149,0.844487,'Possible Injury'
MONTGOMERY,42040,21.55,County,Pedestrian,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Walking/Cycling on Sidewalk',Inattentive,SIDEWALK,No,None,0.610505,0.925819,'Possible Injury'
MONTGOMERY,43434,13.033,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.617316,0.893582,'Suspected Minor Injury'
MONTGOMERY,42047,19.233,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','ALCOHOL PRESENT','Cross/Enter Not at Intersection','FAILURE TO YIELD RIGHT OF WAY','ON ROADWAY NOT AT CROSSWALK',No,None,0.578753,0.939737,'Suspected Minor Injury'
GAITHERSBURG,42672,6.583,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Not Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY NOT AT CROSSWALK',Yes,None,0.648347,0.850264,'Suspected Minor Injury'
MONTGOMERY,44691,20.783,County,Bicyclist,'Single Vehicle',Clear,Dry,'Dark - Not Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.60227,0.984994,'No Apparent Injury'
MONTGOMERY,44446,19.583,County,Bicyclist,'SAME DIR REAR END',Clear,Dry,Dawn,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',Yes,None,0.50955,0.930449,'Suspected Minor Injury'
ROCKVILLE,42641,9,'Maryland (State)',Bicyclist,'SAME DIRECTION RIGHT TURN',Cloudy,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Cycling on Sidewalk',None,SIDEWALK,No,None,0.595025,0.901479,'Possible Injury'
MONTGOMERY,42649,19.467,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','ALCOHOL PRESENT','Cross/Enter Not at Intersection','IN ROADWAY IMPROPERLY','ON ROADWAY NOT AT CROSSWALK',No,None,0.562832,0.937719,'Suspected Serious Injury'
MONTGOMERY,43282,12.617,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,SIDEWALK,No,None,0.562732,0.964991,'Possible Injury'
MONTGOMERY,43803,10.467,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT AT INTERSECTION MARKED CROSSWALK',No,None,0.604077,0.984353,'Possible Injury'
MONTGOMERY,42563,21.583,'Maryland (State)',Pedestrian,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection','IN ROADWAY IMPROPERLY','ON ROADWAY NOT AT CROSSWALK',Yes,None,0.553028,0.933507,'Possible Injury'
MONTGOMERY,43845,19.367,Municipality,Bicyclist,'Single Vehicle',Clear,Dry,'Dark - Not Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.610618,0.877745,'Suspected Serious Injury'
MONTGOMERY,42554,22.667,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION BUT NO CROSSWALK',No,None,0.61827,0.926437,'Suspected Serious Injury'
MONTGOMERY,42670,20.05,'Maryland (State)',Pedestrian,'Single Vehicle',Rain,Wet,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,SIDEWALK,No,None,0.711709,0.873923,'Possible Injury'
MONTGOMERY,43543,10.167,'Maryland (State)',Bicyclist,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection','IN ROADWAY IMPROPERLY','ON ROADWAY AT CROSSWALK',Yes,None,0.683302,0.866058,'No Apparent Injury'
MONTGOMERY,43464,14.833,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected',Standing,None,'ON ROADWAY AT CROSSWALK',No,None,0.559282,0.965474,'Suspected Serious Injury'
MONTGOMERY,42647,9.367,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'AT AT INTERSECTION MARKED CROSSWALK',No,None,0.578774,0.974181,'Possible Injury'
MONTGOMERY,45372,17.033,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',Dart/Dash,'ON ROADWAY AT CROSSWALK',Yes,None,0.556901,0.948738,'Possible Injury'
MONTGOMERY,45656,17.25,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.494945,0.917304,'Suspected Minor Injury'
MONTGOMERY,43434,15.8,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.835274,0.870212,'No Apparent Injury'
MONTGOMERY,43231,14.083,'Maryland (State)',Bicyclist,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Riding w/Traffic',None,'IN BIKEWAY',No,Yes,0.67923,0.896462,'Suspected Minor Injury'
MONTGOMERY,42087,15.083,'Maryland (State)',Bicyclist,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,Yes,0.539548,0.90529,'Suspected Serious Injury'
MONTGOMERY,45641,17.433,County,Bicyclist,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.708584,0.844333,'Possible Injury'
MONTGOMERY,44156,10.817,County,Pedestrian,'Single Vehicle',Cloudy,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,Yes,0.61582,0.871381,'Possible Injury'
MONTGOMERY,44047,13.4,County,Bicyclist,'Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY NOT AT CROSSWALK',No,Yes,0.559819,0.890515,'Suspected Minor Injury'
MONTGOMERY,43731,19.5,County,'Bicyclist  Pedestrian','SAME DIR REAR END',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Walking/Cycling on Sidewalk',Inattentive,SIDEWALK,Yes,None,0.500963,0.94882,'No Apparent Injury'
MONTGOMERY,44115,12.65,Municipality,Bicyclist,'Single Vehicle',Cloudy,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,Yes,0.639875,0.854823,'Suspected Minor Injury'
MONTGOMERY,45420,11.5,County,Bicyclist,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'IN BIKEWAY',No,None,0.51137,0.925412,'Suspected Minor Injury'
MONTGOMERY,44362,20.967,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection','NOT VISIBLE',MEDIAN,Yes,None,0.57464,0.938922,'Suspected Minor Injury'
MONTGOMERY,43519,20.167,'Maryland (State)',Pedestrian,'SAME DIRECTION LEFT TURN',Rain,Wet,'Dark - Not Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.61184,0.925673,'Suspected Minor Injury'
MONTGOMERY,45389,20.5,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection','FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER','ON ROADWAY AT CROSSWALK',No,None,0.575123,0.975442,'Suspected Minor Injury'
MONTGOMERY,43056,19.9,Municipality,' CONVEYANCE','HEAD ON LEFT TURN',Clear,Dry,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY NOT AT CROSSWALK',No,None,0.652874,0.858682,'No Apparent Injury'
MONTGOMERY,42816,12.683,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.510264,0.956647,'Suspected Minor Injury'
MONTGOMERY,43551,7.467,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'FLASHING TRAFFIC SIGNAL','None Detected','None Detected','Approach/Leaving Schoolbus',None,'ON ROADWAY AT CROSSWALK',No,None,0.614766,0.938285,'Suspected Minor Injury'
MONTGOMERY,43935,15.767,County,Bicyclist,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection','FAILURE TO YIELD RIGHT OF WAY','ON ROADWAY AT CROSSWALK',Yes,Yes,0.783903,0.849941,'Suspected Serious Injury'
MONTGOMERY,42479,17.633,'Maryland (State)',Bicyclist,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,Daylight,'YIELD SIGN','None Detected','None Detected','Cross/Enter at Intersection',Dart/Dash,'AT AT INTERSECTION MARKED CROSSWALK',Yes,Yes,0.547254,0.905248,'Possible Injury'
MONTGOMERY,43250,17.333,County,Bicyclist,'Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.574797,0.977476,'Suspected Minor Injury'
MONTGOMERY,43141,7.983,County,Bicyclist,'SAME DIRECTION SIDESWIPE',Cloudy,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Riding w/Traffic',None,'ON ROADWAY NOT AT CROSSWALK',No,Yes,0.482192,0.889023,'Suspected Minor Injury'
MONTGOMERY,44086,11.85,County,Bicyclist,'Single Vehicle',Cloudy,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.711787,0.841242,'No Apparent Injury'
MONTGOMERY,43105,17.117,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted',PERSON,'None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.496376,0.948911,'Suspected Minor Injury'
MONTGOMERY,42560,11.417,County,Bicyclist,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection','FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER','AT INTERSECTION BUT NO CROSSWALK',Yes,Yes,0.758144,0.803753,'Suspected Minor Injury'
ROCKVILLE,42093,17.15,County,CONVEYANCE,'Single Vehicle','SEVERE WINDS',Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.587416,0.90445,'No Apparent Injury'
MONTGOMERY,44637,7.233,'Maryland (State)',Pedestrian,'Single Vehicle',Cloudy,Wet,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',Dart/Dash,'ON ROADWAY NOT AT CROSSWALK',Yes,None,0.503776,0.946574,'Suspected Serious Injury'
MONTGOMERY,42600,22.683,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Not Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',Inattentive,'ON ROADWAY NOT AT CROSSWALK',No,None,0.680137,0.866498,'No Apparent Injury'
GAITHERSBURG,42428,21,Municipality,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','ALCOHOL PRESENT','Cross/Enter Not at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.671451,0.874539,'Suspected Minor Injury'
MONTGOMERY,44925,17.533,' Public Roadway',Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter Not at Intersection',None,SIDEWALK,No,None,0.843988,0.871996,'Suspected Minor Injury'
GAITHERSBURG,44644,21.167,'Maryland (State)',Pedestrian,'STRAIGHT MOVEMENT ANGLE',Rain,Wet,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection','IN ROADWAY IMPROPERLY','ON ROADWAY AT CROSSWALK',Yes,None,0.677349,0.86378,'Possible Injury'
MONTGOMERY,43305,9.933,'Maryland (State)',Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter Not at Intersection',Dart/Dash,'ON ROADWAY NOT AT CROSSWALK',Yes,None,0.510055,0.96174,'Suspected Minor Injury'
MONTGOMERY,43511,14.767,County,Pedestrian,'Single Vehicle',Cloudy,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.677156,0.778695,'Possible Injury'
MONTGOMERY,45591,8.033,County,Bicyclist,'Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',Yes,Yes,0.568461,0.882387,'No Apparent Injury'
MONTGOMERY,43283,19.267,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.617065,0.926343,'Suspected Serious Injury'
MONTGOMERY,43510,4.317,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection','FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER','ON ROADWAY AT CROSSWALK',Yes,None,0.533507,0.95576,'Suspected Minor Injury'
MONTGOMERY,45656,4.917,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','ALCOHOL PRESENT','None Detected',' Working',None,SIDEWALK,No,None,0.578921,0.938618,'Suspected Serious Injury'
MONTGOMERY,42834,10.15,'US (State)',Pedestrian,'SAME DIR REAR END',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,SIDEWALK,No,None,0.501348,0.948865,'No Apparent Injury'
GAITHERSBURG,42405,16.783,Municipality,Pedestrian,'Single Vehicle',Clear,Dry,Dusk,'NO CONTROLS','None Detected','None Detected','Walking/Riding w/Traffic',None,'ON ROADWAY NOT AT CROSSWALK',No,None,0.646011,0.860094,'Suspected Minor Injury'
MONTGOMERY,44522,19.917,County,' CONVEYANCE','STRAIGHT MOVEMENT ANGLE',Clear,Dry,'Dark - Lighted','NO CONTROLS','ALCOHOL PRESENT','None Detected','Cross/Enter at Intersection',None,SHOULDER,No,None,0.69556,0.925582,'No Apparent Injury'
MONTGOMERY,42753,15.25,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Walking to/from school',None,'ON ROADWAY AT CROSSWALK',Yes,None,0.558024,0.884605,'No Apparent Injury'
MONTGOMERY,45411,12.683,Municipality,Bicyclist,'Single Vehicle',Cloudy,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Riding against Traffic','WRONG WAY RIDING OR WALKING','ON ROADWAY AT CROSSWALK',No,Yes,0.547602,0.927492,'Possible Injury'
MONTGOMERY,42836,19.883,Municipality,Bicyclist,'STRAIGHT MOVEMENT ANGLE',Clear,Dry,Dusk,'NO CONTROLS','None Detected','None Detected','Walking/Cycling on Sidewalk',None,SIDEWALK,Yes,None,0.676388,0.8754,'Suspected Serious Injury'
MONTGOMERY,42832,10.083,'Maryland (State)',Bicyclist,'Single Vehicle',Clear,Dry,Daylight,'YIELD SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,Yes,0.453096,0.916099,'Suspected Minor Injury'
MONTGOMERY,43925,10.283,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.742381,0.849263,'Suspected Minor Injury'
MONTGOMERY,44826,21.167,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter Not at Intersection','IN ROADWAY IMPROPERLY','ON ROADWAY NOT AT CROSSWALK',Yes,None,0.565182,0.91102,'Possible Injury'
MONTGOMERY,44892,12.567,County,Bicyclist,'STRAIGHT MOVEMENT ANGLE',Rain,Wet,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.7188,0.841836,'Possible Injury'
MONTGOMERY,43370,9.133,County,' CONVEYANCE','Single Vehicle',Cloudy,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.686352,0.936321,'Possible Injury'
MONTGOMERY,44118,17,Government,Bicyclist,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Riding w/Traffic',None,'ON ROADWAY NOT AT CROSSWALK',No,Yes,0.524464,0.930733,'Suspected Minor Injury'
